,text
165,"Punya Robot Acome A5.. Mayan awet dan suara ga berubah. Beli 3 tahun lalu.
Fitur sangat bermanfaatlah, karena bisa 3 waktu alarm."
166,Dari 2021 pake WS -858 sampe sekarang masih bagus 
167,"Kalau Speaker sih gimana selera ya,
Dan kalau yg cr lbh gede di bas, treble atau lain2.
Dari beberapa merk diatas aku pakai VYATTA justru awet banget batrenya.
Platinum Hitz designnya paling simple dan milenials dipajang2 jg oke.
"
168,"Vivan Vs 12 gw rekomendasikan buat kalian
Bisa di jadikan jadi stereo speaker kalo punya 2 unit"
169,"Agak keget sih pas denger suara jbl go2 tapi pas denger harga 200k kemungkinan kw tuh bang,yg ori kalo gk salah harga skitar 350-400.
Ngomong"" aku pakai yg Go1 dulu beli 235rb dan suaraya menurutku lebih jernih dan lebih mantep dari yg Go2 bang Dafid unbox."
170,"Haha pas banget lagi bingung mau beli bluetooth speaker yg ok, tiba² bang David review speaker² bluetooth, makasih bang"
171,"saya nonton video ini pakai Acome A1
apapun speaker yang direview tetap Acome keluarnya "
172,"Acome alarm itu aku dapet harga 105rb. Cctv Acome 480rb udah mantap banget, resolusi 1296P"
173,acome a5 itu dlu sy beli di 2020 aja sekitar 118 rb skrg udah under 100k ajaa 
174,Awalnya senang dpt notifikasi bang David mau review speaker bluetooth saya pikir merk inbex masuk tapi ternyata ngga kecewa sih dikit
175,"Saya dari 2019 sudah pakai acome dan produk terakhir yg saya beli acome a10 sudah punya a2 yg bisa di pair 2 speaker,, A9 dan a20 yg versi gede dari A10... A10 dan A20 saya dapat murah karena dibeli di toko baru yang mau cari nama... A10 hanya 125rb dan a20 hanya 215rb..."
176,"Range harga 100k-500k yg terbaik menurut gw Eggel Terra 3 mini, balance banget suaranya untuk harga 360k, bass nya deep.. Tapi susah dapetnya, kalaupun ada tapi gak di official store harganya bisa sampe 500k"
177,beberapa hari sempet bingung cari review sana sini. Akhirnya fix utk CO eggel fit 3 hehe
178,"Gw punya acome yang sekaligus jam itu, sesudah beli eggle tera 3 mini , itu acome ku taro aja di meja kantor buat jam sama ngaca soalnya kalau layarnya mati itu reflecting banget wkwkwk"
179,mau nanya speker laptop di meja bang david itu merk apa ya?
180,"cobain produk bcare bang menang banyak tuh speakernya, tapi harganya juga agak mahal yang buat seri istage"
181,"Sayang nya eggle lagi gk ready stock,padahal mau beli banget"
182,"Eggel menang di tws dibawah 400k
Dan sekarang menang lagi di speaker dibawah 200k, ngalahin yang 400 ribuan lagi."
183,"pas banget video ini muncul , jadi ada rekomendasi untuk cari pengganti speaker logitech x50 saya yg sudah jebol "
184,"mifa m1 speaker blutut pertama ane, pemakaian 2 taun, lalu ganti ke oontz solo, sampe sekarang dah 2 taun pemakaian juga. Ada rasa pengen ganti suasana lagi, eh pas banget keluar ni video."
185,"JBL GO 300rb , mantep pakek banget! , suaranya jernih walau volume sangat keras."
186,Ketika bang David puji egel fit 3 disana saya merasa senanggw ga salah pilih
187,"mas saya suka review mas, kadang kalo ngantor suka smbil dgrin, bisa review slain hp lebih banyak seperti hype keyboard tweaking, hype gaming handheld model stemdeck, retroid, ayaneo, anbernic. karena mas tu bisa review per product fitur dan bagus jelek nilai nya bagus ga cuma masalah mahal itu bagus, harga murah jg bs cukup. makanya saya penasaran. hihi thankyou. saya tahu dunia gadget tu handphone bgt. tapi dr review yang sangat baik mnrtku bisa luas yang di review"
188,"Udah pake OONTZ Angle 3, dari sejak beli 2018 sih puas sama kualitas nya, dan sampe sekarang gak berkurang kualitas suara dan batre nya juga masih oke"
189,Dilanjutkan lagi bang David bikin video bahas speaker gini bang. Kini giliran speaker mahal yang unjuk suaranya bang. Ngisi waktu kosong/gabut sambil manjain telinga bang
190,Lucu banget liat ekspresinya bang pas tau harganya murah & kualitasnya bagus.
191,"Di akhir Vidio ngakak, setelah semua   merek di pilih yang baik2, teryata ada yang paling gacor wkwk"
192,"-+2 tahun pake eggel fit 2 tanpa kendala, dan terbaik tiada lawan"
193,"saran aja sih bang, kalau sound check coba pake “ TOTO - I Will Remember “"
194,"dulu beli sakumini*referensi dari gadgetin juga* masih up and running, walaupun udah sempet kecemplung aer, masih good suaranya"
195,"Bagus sih konten ky gini, buat rekomendasi speaker bt sejuta umat (murah) , sering2 bikin yg ky gini bang"
196,"2:08 speaker Oontz:  https://tokopedia.link/1hwS9On0Drb
https://shope.ee/1VLzVPn504

4:25 speaker Vyatta platinum hitz: https://tokopedia.link/5UJ3Qfs0Drb
https://shope.ee/AUGoE0MPAW

6:44 speaker Vivan Audio VS12: https://tokopedia.link/zndN6Hz0Drb
https://shope.ee/AUGoE76Ez4

9:47 speaker Mitsuyama: https://tokopedia.link/euztIxH0Drb
https://shope.ee/4fJ1HXtkQ6

13:29 speaker simbadda cst 360n: https://tokopedia.link/NsGJc6M0Drb
https://shope.ee/4KgAt49WOR

17:14 speaker Robot RB100: https://tokopedia.link/uL4seNY0Drb
https://shope.ee/9p17RGUQJF

15:09 speaker ROBOT RB150: https://tokopedia.link/lD9F3U10Drb
https://shope.ee/LA27sktyC

19:12 speaker kisonli G1: https://tokopedia.link/jOfYSJ30Drb
https://shope.ee/5pUyg3kcan

22:04 speaker Eggel fit 3: https://tokopedia.link/DoFsI970Drb
https://shope.ee/7pG33rMEWA

25:02 speaker MKC kimiso: https://tokopedia.link/QWmBROw1Drb
https://shope.ee/7zZTGE2ev2

28:12 speaker Acome A1: https://tokopedia.link/OvXgtXA1Drb
https://shope.ee/9UOH32MChO

29:09 speaker Acome A5: https://tokopedia.link/HU8jsZC1Drb
https://shope.ee/4AMkhHAI7c

31:55 speaker Acome A10: https://tokopedia.link/gzDn0jF1Drb
https://shope.ee/4KgAtcHZzt

35:32 Speaker JBL GO 2: https://tokopedia.link/Va4Zn4L1Drb
https://shope.ee/7zZTGSVzlZ

37:23 speaker youayouo: https://tokopedia.link/F8dQJxU1Drb

39:40 speaker Zealot: https://tokopedia.link/DH3ST9W1Drb
https://shope.ee/3pjuIxmQLI

42:25 speaker sakumini y6: https://tokopedia.link/RjB2jZY1Drb
https://shope.ee/8zS0ScFdnV

44:12 speaker Ecle T5: https://tokopedia.link/BtVi20e2Drb
https://shope.ee/1L2ZKZqU2y

45:10 speaker Ecle Holder: https://tokopedia.link/joXErT11Drb
https://shope.ee/3fQU6wx6xN"
197,"Cobain beli Eggle Fit 3 barangnya ready terus dan harga gak naik
Sampe beli 2 nyobain TWS nya..
Sesuai banget review-nya harga segitu kualitas juara sih.. "
198,"Makasih bang, jadi ada referensi buat beli speaker. Kebetulan juga lagi cari speaker yang murah sesuai bugdet anak kos."
199,Tetap menurut saya speaker Anker Soundcore One saya beli sekitar 3 tahun lalu masih the best.
200,"eggel sama acome mantep sih
yg penting udah type C"
201,Lagi nyari bluetooth speaker yg ada radionya. Kira2 dri yg di rekom bg david ada radio ga ya? Info gan
202,Untuk yg suka bass head saya sarankan vivan serta volume jangan sampai 50 keatas nanti suaranya mendem .
203,Wah belom pernah nyobain speaker B CARE diaaa hahaha pasti kaget harga nya murah tapi kualitas suara bukan main
204,"Yaaah ga ada eggel tera 3 mini , di luar expektasi bgt padahal . Ak pke d rmh di kira tetangga play pke speaker yg gede gt , ternyata kecil doangg"
205,"cobain versi barang lain bang, kaya misal smartwatch atau earpods"
206,"Bang review power amplifier mini, TPA 3110, TPA3116D2, Zk50l, Zk 502M pasti lebih seru 
Gw lagi pesen Zk 502M"
207,"Coba eggel terra 3 mini bang, mantap puoll itu bang"
208,"Ini livenya Acome khususnya A10 di shoppe selang 3 jem langsung banyak yang checkout, termasuk saya. Takut udah di review bang david besoknya naik ! XD"
209,Bang bandingkan spiker bluetooth JBL charge 4 sama charge 5 dong
210,betah banget nonton video ini...reviewnya mantep banget bang david...jujur polll 
211,"Gak kecewa nonton sampe abis , epic banget pas si suhu closing ."
212,"Sering² bikin konten kayak gini bang, seru parah ngakak mulu nontonnya wkwk"
213,Cobain speaker wireles speaker C19 bg. Gua pakai itu. Enak bener suaranya.
214,"Next video rekomendasi blender mini terbaik dong min 
Untuk anak kosan nih"
215,"Please Battle speker bluetooth portable bang, BW, Bose, AKG, JBL, Pioneer."
216,"Taun lalu beli soundcore flare mini budget 500Kan, worth banget "
217,Padahal youayou dan acomo yg RGB itu harga nya hampir mirip loh. Bagusan mana ya kira2
218,mantap bang jadi tau speker bluetooth mana yg bagus suaranya sesuai harga dan juaranya  eggel dan  ACOME
219,setelah saya menonton video ini. Saya jatuh hati ke eggel tera 3 mini
220,"lebih seru ini sii, mbahas speaker bluetooth asik, lanjut part 2 kk"
221,Sekalinya nonton Gadgetin langsung yang durasi panjang...top keren bgt review nya bg 
222,"Spiker yang terakhir itu nilainya 1000/10 bang! 

Wah wah.. Gila.. Kece parah suaranya!! "
223,"coba klo masuk list eggel terra mini 3, menurut ane itu joss bgt"
224,Spiker oase/olike seri OBS perlu di coba 
225,"Bang entah saya yg gak nangkap detilnya. Tapi saran saya, untuk konten perbandingan, formatnya kasih standard. Misal masing2 item harus ada nilai kesimpulan untuk dibandingin dgn item yg lainnya. Susah kalau bandingin secara diskripsi.
Terus harga ini dapetnya jadi lebih ke layakkah harganya, tapi untuk bandingin dgn item lainnya harus milih yg mana kan masih bingung.
 Semoga channelnya keren selalu "
226,aku pnya acome yang kotak biru dibawah dari setahun yang lalu dan memang lumayan sih pernah kena banjir tapi alhamdulillah masi mantab dari segi suara dan build quality sih mantab ga jelek dan ga bagus2 banget
227,"Yang JBL kayanya KW deh, JBL Go 2 harganya setauku 300an dan yang di video pas masih di dalem bungkus masa posisinya kebalik wkwk"
228,Udah pernah pake eggel generasi lama makin kesini makin manteb skrg pake eggel yg elite xL sangat puas. Gk perlu pusing milih uda pasti eggel yg paling worth it dari segi harga dan kualitas yg laen mah lewat !!!
229,Kirain Ada Merk MiFa ..pernah tahun lalu kerendam Banjir 12jam masih Oke sampai sekarang 
230,terima kasihsaya tau mana speaker ramah di kantong
231,"yaa jangan disandingkan dengan Bose lah bang, uda langit dan bumi jadinya. hehehehe, punya Bose Music 1+1 dan suaranya tetap mantul"
232,Paling suka gw klo bahas soal speaker 
233,"jbl go masih menemani di kamar kost,sudah 3 tahun.."
234,"Bias2 naik harga eggel fit 3 hbis direview bang David,untung dh beli wkwk"
235,Bang bikin konten rekomendasi salon/speaker aktif yang bisa bluetooth sama Aux kabel tapi bukan yang di charger 
236,Eggel memang juara sih suaranya.
237,"Iseng2 buka linknya acome di tokoped, lah kok stok habis, reviewers pada bilang beli karena liat video ini"
238,"Miris bgt itu bang mereka lgsg dikeluarin si bose nya wkwkw, jelas beda si lgsg luas banget jangkauan bose"
239,Bose emg the best sya punya yg bose sound link II bagus bgt
240,Masih punya JBL GO versi awal dan masih awet sampai sekarang. Tapi sekarang punya yang GO 3 dan suara bass-nya mantap!
241,EGGEL TETEP THE BEST 
242,ini baru totalitas 
243,"Tws air pods yg kelas entry level donk bro , banyak banget pilihan nya . Biar ada rekomendasi. Trima kasih"
244,Gk pernah salah punya koleksi produk dari eggel ternyata
245,Refiu yg ke 3 suaranya mantap apalagi basnya terasa banget
246,"Produsen dalam negeri kalo bikin sound emang ngeri2... Polytron,eggel,dll... Apalagi tukang rakit sound + ampli,suaranya buat geterin kaca udah kek easy banget... "
247,Speakernya buat saya satu bang insya allah bermanfaat buat denger tadarusan 
248,"Spiker vivan emang top bang, mana batrenya awet malahan "
249,1.Acome 2. kisonli ..acome emg dr dulu bagus dgb harga trjangkau
250,Bang selanjutnya borong projector dongg kan bnyk tuhh ad range harga murce bgt smpe yg mahalan hehe
251,Punya yg Acome yg kotak itu yg mirip robot wkwk beli dua lsg karna ada promo n bisa dijadiin tws jg speaker nya
252,"Bikin konten survival bang kayaknya bakal rame, pura2 camping sambil bawa gadget2 portable,  sambil nge test lampu emergency atau kompor atau apalah, semangat bang "
253,"Request review Microphone buat karaoke dibawah 500rb dong Bang, sekalian juga review Speaker aktif buat karaoke rate harga dibawah 2jt"
254,"terima kasih. akhirnya saya beli yang Acome RGB. gileeee, kecil2 cabe rawit. suaranya kenceng banget."
255,"Saya pake Acome A1,  beli sepasang bisa di sambungin jadi stereo speaker, antara satu dan yg satunya bisa nyambung.. "
256,"Mau nanya dong seputar speaker, kalau advance t101bt itu gimana ya kualitas nya? subwoofer seharga 200rb an."
257,Sedang menggunakan jbl kw harga 65rb yang suaranya ga kalah sama yang harga 200rban 
258,"Eggel fit 3, memang juaranya speaker 100ribuan"
259,Coba deh beli JETE S8. Bluetooth speaker khusus outdoor. Suaranya surround 360°. Mantap
260,"bang david, review smartphone baru dr nothing phone dong bang, soalnya design nya unik jadi penasaran"
261,"aku dengerin sampe abis loh bang, sekalian sambil beresin rumah hehe."
262,"bang cobain advance vs-30bt dong, menurut saya lumayan bagus itu..."
263,Dengerin pake bluetooth speaker Logitech x100 dari tahun 2016 kalo gasalah. Masih enak2 aja
264,"Speaker bluetooth kere hore under 100k menurut gw:
- Acome / robot (bisa dijadikan stereo klo punya 2 pcs) 
- Lenovo k3 (ini speaker kecil2 cabe rawit!)"
265,"sayang merk LENYES gak masuk riview, suaranyaa oke bahan solid water proof bang"
266,"klo mau nyoba Radionya dikasih kabel charger bang ,bisa dianggep antena tuh kabel"
267,"yg JBL go itu yakin kawe, saya klik linknya harga baru diskon 97rb, dan nyantumin gambarnya gadgetin saat review ini , di kolom diskusi sellernya gak tegas jawab ori atau enggak..
saya cek jbl go 2 ori ims msh diatas 300rban, dan harusnya suaranya beda,.. sayang bgt iqbal kevin beli yg kawe-nya"
268,"Terima kasih, Pas banget sebagai reference mau beli bluetooth speaker "
269,Kurang 1 Om David. GMC Series. GMC 881B  RMS nya 25 Watt. Suaranya lumayan oke.
270,"aku punya beberapa spiker dr Dazumba, Simbadda, Acome sama SLEC. kalo yg paling bagus sih Simbadda karna yg paling mahal juga. tp yg paling bikin kejutan itu yg SLEC. Aku beli 99rb harga flash sale dan produknya discontinue . tapi kualitas suaranya mantaap gila untuk harga dan ukurannya yg imut.

untuk yg Acome tipe yg ada jam nya. dr suara biasa ajah, tapi kecewa sama led jamnya yg udh banyak bagian yg mati. no offense, cm berbagi pengalaman. sekarang tertarik sama yg Eaggle, tp budget blm.masuk "
271,User JBL GO pertama nyimak... Masih bagus dan awet sampai sekarang
272,"Acome yg jam emang murah bang, tapi suara ga murahan, kemarin sempet punya sampai dibawa pulang sodara pas lebaran kemarinkali, dan akhirnya seperti yg sudah sudah, ga balik lagi. 
Beli lagi merk Lenovo, kirain lebih bagus, karena harga lebih tinggi, tapi ternyata ekspektasi aku terlalu tinggi untuk Lenovo. Suaranya alamaaaaak keras kali."
273,"Bang David, review speaker jadul Music Angel donk, terimakasih ya. "
274,"saya pke jbl go versi pertama udah dari 2017, btre masih lumayan awet di pke tiap hari. cuma udah lecet2 karetnya udah getas."
275,Acome juara gw suka bang 
276,"Gilaaa, kereen 20 jenis langsung sekaligus.. angkat kopi dulu buat David "
277,"Mending saya rakit sendiri, kalo masalah audio,,,hasil nya pun lumayan, bisa ngimbangin pabrikan"
278,"Segabut - gabutnya jg bro David,,ttp punya something.... semangat trus bro David....."
279,"Punya oontz solo, suara sering putus2 akhirnya terpaksa pake kabel aux, di volume max cenderung pecah, Bluetooth kadang gangguan. Ini sudah barang retur, krn yg pertama gabisa dicharge. Sbnernya karakter suara bagus banget heuf"
280,"ini konten gilak sih, mantapppp bang david sukses"
281,Emang top penilaian yg jujur sesuai hati....mantap 
282,"makasih bang David, dari dulu pengen beli speaker Bluetooth tapi bingung bali yang mana, sekarang udah ada rekomendasi, makasih banyak bang "
283,Konten gadgetin ini wajib pake headset/hf 
284,"Saya Pengguna Bluetooth X-Mini Explore 350rb, Robot BT100 75rb Untuk Hp dan Robot RS170 85rb Buat Laptop"
285,"pas review vivan .... play lagu,, cc nya suara speaker vyatta 
sama robotnRB100 dlu harganya 75k.. dan punya fitur party jadi kalo ada RB100 lain bisa dipairing... jadi klo dibilang 90k karena barang lama ya nggak sih bang .."
286,"37:10 kw itu bang, harga di official storenya JBL sekitar 300-400 klo ga salah."
287,Acome a10 stelah sy cek harganya d tokopedia dr 400 ribuan sampe ad yg 1 jutaan. waahh lngsung naiki hrga steleh d review bgus.. 
288,"Yang JBL GO 2 agak diragukan originalitasnya yaa, soalnya saya punya yg JBL GO generasi pertama aja harganya diatas itu, dan suaranya bagus."
289,"Jadi urutan yang terbagus apa bang?
Info sound lagu yg dipake cek speaker dong bang?"
290,Mantul review nya jadi tau recomendasi beli speaker yang mana hehe
291,gw pernah beli speaker bas gede lebih cocok buat mobil sih tapi bisa di pake di motor chager input 12v jumper ke aki suaranya udah kaya tukang getuk gede banget harganya 175k
292,Next content kalau gabut buat lagi Borong 20 TWS Murah dan berkualitas.
293,"Eggle dimana mana jadi faforit bung,kasian yg gak faham eggle masih nyasarr "
294,"Pake Acome A5 udah ada 1 tahunan. Dulu harga 120K bonus microSDnya 8GB. Suaranya emang mantebbb buat harganya...

Khan maen lah ~"
295,Review kali ini menarik banget si
296,"Saya punya vivan vs12 harga 240rb udah 1 tahun masih bagus. Bassnya oke banget, tiap hari saya bawa ke tempat kerja. Temen2 aja pada suka ni speaker"
297,"gegara di review di mari, speaker2x yg terpilih harga nya sekarang 
jd 2 kali lipat di semua online shop.. suee"
298,"Makasih bang, saya juga lagi cari bluetooth speaker, liat review di kolom penilaian pada gajelas semua, cuma pada ""barang udah nyampe"" ""pengiriman cepat"" ""dikasih bubblewrap"" ""kurir/seller amanah"" ""admin ramah"" dll, gada yang bahas kualitas suara, video ini membantu banget, makasih bang"
299,"makasih lho Kak...sekarang speaker2nya jadi ghoib...klo pun ada, harganya naik berkali2 lipat"
300,"Request bang, sabi kali yak nextnya nentuin earphone² terbaik harga dibawah 300 rb"
301,Mitsuyama terbaik di harganya bang tapi awas kalo beli di orang keliling bisa nyampe 250 
302,Robot dan vivan sudah terjamin kualitas nya TOP
303,"Di musim kemarau ini , eggel fit 3 selalu setia menemani saya tanam kacang ijo disawah bekas lahan padi yg sayalembur setiap malam ,mantab suaranya ,yg maubeli jangan ragu ....."
304,"Bang davit,
Emang bener speaker bluetooth menurutku paling bagus
Merk EGGEL, di banding produk lain #real"
305,"6 agustus, eggel fit 3 sudah out of stock :( yang tersisa di toko lain harganya jadi mahal"
306,"pertama kali gw beli bluetooth speaker Eggel FIT 3. merasa gak salah pilih, dan malah jadi penasaran sama yg seri lain nya"
307,"Mantap bang David.. pas banget sih gw paling suka speker, bisa mndang mnding kan jd nya :) ..."
308,ga berenti ngakak nonton video ini. niat liat review malah banyak moment memeable. 33:34 david ulti
309,"pas banget aku lagi mau cari speaker, tapi spt yang dikatakan.. eggel kosong "
310,"makasih bang ,sangat membantu sekali "
311,"Coba unboksing yg merk IM bang 
Kecil barang nya tp cabe rawit
Bentuk nya bulet segede tutup galon air mineral "
312,"Saran lagu: Ecstasy - Original Mix by Fabich
itu banyak bassnya dan cocok untuk test² lagu di TWS/BT Speaker/Dll."
313,Wekku vivan vs12 iku wes manteb..
314,"Yang acome itu ada jamnya, pas ditutup belakangnya pake tangan sama bang david kaya ada pantulan jadi lebih bagus suaranya, mungkin kalo dipajang dan belakangnya ada tembok bisa ketolong lagi jadi lebih bagus."
315,Review yg super mantab... 1 karung blutut diborong semua...  aku suka
316,seru banget sih bahas dan review speaker ini mantap
317,Kasian bang..  endorse kopi tapi ngk doyan kopi akhirnya gelas kopinya ngk ada isinya 
318,Acome 75 ribu nggak ada lawan bosku 
319,buat video yang kayak gini tapi keyboard harga dibawah 300.000 / 500.000 kayaknya bagus bang
320,pilihan mic murah untuk record atau untuk rekaman karaoke om david?
321,"Ada harga ada rupa.... Altec Lansing , JBL, Harman Kardon atau Bose jamin manjain telinga..."
322,"Eggel terra 3 mini sih, terbaik menurut gw :)"
323,Eggle fit 3 sama acome A10 lebih worth it  yang mana?
324,Dengerin video ini pake headset 5000an semuanya kedengeran sama 
325,"15:50 justru speaker Bluetooth nya yg jd fitur tambahan, harusnya ini masuknya ke kategori jam digital dengan alarm, jd punya fitur tambahan Bluetooth speaker.
Makanya jgn berharap kualitas bagus dan harganya murah, mau merek apapun selama ada jamnya itu bukan Bluetooth speaker sejati, sejatinya ya jam digital dengan alarm"
326,Mending rakit sendiri bang buat boombox 
327,"Bang david ijin request next konten bikin rekomendasi setup box tv digital bang harga dibawah 500k kalo bisa, mayoritas warga kampung masih pake tv tabung,terimakasih"
328,"gua pake grand sonic harga 4jtaan, kualitas jangan ditanya jedag jedungnya war biasa, buat karoke mantep satu kompleks bisa kedengeran mantep lah, minusnya ukuran nya sangat besar wkwk"
329,speaker penutup nya itu rame nya sekelas yg di pake mbak2 era henphone buat dangdutan di store nya tiap weekday 
330,"Coba bang borong set box tv buat referensi beli karna TV analog mau ganti jadi digital, biar ga salah beli jadi harus dicoba dulu sama bang david."
331,"Kalo gua kopi sachetan lebih suka kopi luwak hitam karena harga per sct nya sama sama 12 rb isi 20 pcs di rumah ku dan paling utama aroma, rasa kuat dan rasa manis yg pas. Kapal api menang dari bau kopi tp lemah dari perpaduan aroma dan rasa. Menurut gua wkwkwk "
332,"Next kalau audio saran saja
Volume di 60%
EQ normal (tampa EQ alias flat)
Dts atau dolby posisi off

Jadi biar tau kualitas gimana"
333,"Beda hp juga beda hasil audionya. Kadang ada hp yg ekualiser atau audio enhancernya aktif waktu mode bluetooth, ada juga yg engga. Dan file juga ngaruh, kalo bisa pake format flac, atau minimal mp3 320kbps. Soalnya kalo audio hasil streaming yutub bakal turun jauh."
334,Sakumini y6 masih worth it di kelas 100 ribuan buat outdoor 
335,"saya rakit sendiri g nyampe 200k .
baterai awet ,amplifer 12v stereo
buat play bassboosted mantap"
336,"Saya user eggel.
Sejak 2019, start from eggel fit gen 1, bass mantap, voice clear, build oke, batere oke. Sampai sekarang masih bagus! Kencang! 

Tahun 2020 Lanjut ke eggel liberty bud 2, bass oke, voice clear, touch controlnya oke, dan sudah type c. Delay nya gak kerasa. Tahun 2021 hampir pas umur setahun, saya claim garansi karena touch control suka kepencet sendiri, mungkin karena beberapa kali jatoh pas lagi dipake. And voila, normal lagi.

Tahun 2021 pas lagi klaim garansi yg liberty bud 2, saya beli liberty 2 sport untuk backup earphone bluetooth. Suara oke jernih bass oke, tahan lama baterainya, cuman karena untuk nonton video suaranya delay antara gambar dan suara, mungkin karena emang peruntukan nya untuk olahraga, jadi tidak memprioritaskan untuk delay nya. Saya coba refund, dan voila, di refund donk. Karena ada fitur refund 7 hari kalau tidak puas.

Belum nemu pengganti yg pas untuk harga yang sama sih. Meskipun beberapa lini eggel adalah rebrand dari brand di luar negeri, tapi first move nya udah bagus. Good job eggel."
337,saya suka video borong dan review kayak gini
338,Baru sadar kalo quality gambarnya udah sampe 2160P 
339,Speaker Sony kecil tapi mantap..
340,"COBA COMPARE MERK MIFAN BANG, PRODUK2NYA TIDAK PERNAH MENGECEWAKAN"
341,saya punya ACOME A5 fitur : radio /termometer suhu ruang/ jam/ alarm udah hampir setahun
342,Cocok buat orang awam yang nggak terlalu peduli akan kualitas suara. 
343,Next coba review headset gaming dibawah 300ribu yang paling laris di toko online bang.
344,"Eggel Fit 2 aja bagus....
Eggel Fit 3 lebih bagus lagi, kecil, suara jernih, USB Type-C, build quality bagus, tahan banting dan tahan air, harga friendly pula.
Saya punya keduanya, ati2 stok sering abis, ha ha ha..."
345,WAT kelas an 200 an mah Robot Vivan mnurutku...worth it dan value for money..bass treable dapet
346,Kalo Comson CS78 yang dulu pernah Kak David review gmna? Masih Worth it kah?
347,Per agustus nggak ada Eggel Fit 3 harga 195 rb.. skrg 260 ke atas... Acome A10 sudah 350 rb ke atas..
348,"Masih setia sama sakumini Y6, beli 85k tahun lalu. Sekarang malah udh di atas 100k "
349,Bagus konten nya... terus yg kyk begini ya david..tpi benda elektronik yg lain
350,"Andalan gua speaker bluetooth Vivan VS Satu ..bass mantab, suara vokal Lembut namun kuat ,, sama merk QUBE beli di welcome"
351,"Btw untuk jbl nya kw, karna tombol jbl go 2 itu tidak timbul sedangkan di video tombol2nya terlihat timbul. Thanks"
352,Kmaren baru minang logitech x50 dan review menurut gua pribadi suaranya jernih bass dapet banget ukuran kecil jadi bisa masuk kantong celana overall puas sih baru 2 hari pemakaian
353,"20 biji itu bongkar semua bang, karena kabel dll didalamnya ngaruh ke tahanannya"
354,"22:57 ini yang menurut gue paling ok sih bisa dibawa kemana"", trus materialnya karet, suaranya jernih."
355, (( sangat bermanfaat aa David & aa Iqbal )) 
356,"Bang,bikin konten rakit PC 8-10 jutaan buat tahun ini dong"
357,"Bang David,review proyektor portabel dong.... ,Yg bajet 1jt kebawah..."
358,"udh punya yg acome a 5, speaker bluetooth paling bagus di kelas harganta, abis nonton ini jd berasa keren karna masuk rekomen gadgetin (alias ga salah pilih) haha"
359,Bang di jawa timur ada lomba sound system gitu coba jadiin content bang kayanya seru
360,"Fitur yang dicari:
-Gak ada suara pas bluetooth on, menurut ane cukup ganggu apalagi kencang suaranya
-Baterai bisa ganti, kalo tanam repot bongkar casing"
361,"Next bikin episode yg bluetooth speaker paling sangar bang, harman kardon masukin list"
362,ending nya mantap wkwkwkk ulti semua bluetooth speaker nya semua 
363,"seharusnya kalo ngechek speaker 
musiknya gamelan karena instrumenya banyak"
364,"Oontz Angle 3 so far terbaik menurut saya, dual speaker, clarity & detailnya mantap utk ukuran speaker segitu, tapi bass nya pas2an kurang cocok buat basshead, jarang2 speaker 300rb punya clarity ama detail kayak gini, biasanya asal bunyi bass gede.."
365,Gue eggel Active 2+ sama fit3..mantap
366,"Bagus tuh yg acome yg ada jamny, bs nambah estetika meja pc, murah lg "
367,Saya make yang robot rb100 itu sudah mau 2thn masih ok... Coba kakak seting di equlizer hp..bass-nya masih bisa keluar lebih dari standarnya
368,"Next bahas keyboard dong bang, membran / mechanical"
369,"Speaker bluetooth yg level tinggi apa bang,yg awet batere yg bisa di colok langsung dan bisa buat karoke jg?"
370,"Bang request review speaker aktif dibawah 500k, yg pake input AC"
371,"Gadgetin review speaker seperti phantom, boombox 3 atau bose selevel dong"
372,"Eggel fit 3 : 159k bagus bgt
Acome A10 : 210k bagus bgt
Suaranya lebih bagus acome A10 kan? tapi lebih mahal 
Desain acome A10 ada RGB light nilai tambahan"
373,Yang spiker terakhir yang nggak di review. Itu merek Bose tipe apa kak?? 
374,Acome A5 hadir 2 tahun lebih masih bagus suaranya asli acome ga salah bikin speaker niat banget harganya juga murah
375,"Synk kali advance S50 tdk di masukan..  pdhal itu speker mantap, harga cuma 170rb'an doank"
376,Sukses slalu bang sehat slalu smoga rezekinya selalu di mudahkan amin smoga apa yang di impikan cepat tercapai
377,Kebetulan speaker saya MONSTER BLASTER suaranya paling bagus . Mau dong di review sama JBL dan dengan speaker speaker yg dibilang bagus
378,"sebenernya ngarep ada merk mifa, anker soundcore, dan lenyes di test speaker bluetooth ini"
379,"Coba bikin konten kaya gini lagi bang, tapi versi earphone. Soalnya kadang masih bingung earphone yang murah tapi kualitasnya bagus."
380,mitsuyama worth it banget lah dengan harga 100an ..
381,"Mantap bung David.
Klw aja Deket rumah nya mau ta ambilin / diminta tuh barang yg diafkir nya.
Hehehe"
382,"pas david nyeplos ""wah ember"" langsung ngakak wkkwkwkwkw"
383,Saya pakai RB100 dpat di harga 75ribu beli online dari tahun 2019 sampai 2022 masih awet sampai skrang
384,"gua pake tuh yang Mitsuyama harga 110rb, udah gua mod, gua langsungin powernya, jadi bisa colok kabel, speaker dapet yang lumayan jernih, untuk radio pakai kabel charger buat antena. suara belum di mod jadi stereo, masih mono (2 speaker). dan Mitsuyama awet bang, percaya dah."
385,Wah hebat promo nya.... Sudah pasti mengarah ke Eggle sih... Cuma caranya halus benar... Memang top dah kalau rekomendasikan sambil ngiklan 
